brand,digits,pin,codeonly,gcwpdf,tcbpdf
1800flowers,,,,,
ace hardware,,,,,
adidas,19e,,,,
aeropostal,,,,,
airbnb,19e,,,,
amazon,,,,,y
amc,,,,,
american airline,,,,,
american eagle,19e,,,,
american girl,,,,,
amex gc,,,,,
amtrak,,,,,
applebee's,19e,,,,
autozone,,,,,
babies r us,,,,,
bahama breeze,,,,,
banana republic,,,,,
barnes and noble,,,,,
bass pro,19e,,,,
bath and body works,19e,,,,
bed bath and beyond,16e,,,,
belk,19e,,,,
bestbuy,16e,,,,
bj's restaurant,,,,,
bloomingdale's,15f,,y,,
bon-ton,,,,,
boscov's,16e,,,,
boston market,,,,,
bp,,,,,
brinker,16e,,y,,
buffalo wild wings,,,,,
burberry,,,,,
burger king,,,,,
burlington,19e,,,,
buybuybaby,,,,,
cabela's,,,,,
carter's,16e,,,,
catherines,,,,,
chewy,,,,,
chevron,,,,,
children's place,19e,,,,
chipotle,16e,,,,
coach,,,,,
cole haan,,,,,
columbia,19e,,,,
conoco,,,,,
cracker barrel,,,,,
crate and barrel,19e,,,,
cvs,,,,,
darden,,,,,
dave and buster's,19e,,,,
delta,,,,,y
domino's,19e,,,,
doordash,,,y,,y
dsw,19e,,,,
dunkin donuts,16e,,,,
ebay,,,y,,y
express,19e,,,,
exxon,,,,,
famous footwear,19e,,,,
fandango,19e,,,,
foot locker,,,,,
fortnite,19e,,y,,
gamestop,19e,,,,
gap,16e,,,,
gnc,,,,,
google play,,,y,y,y
groupon,,,,,
guitar center,,,,,
gymboree,,,,,
h&m,19e,,,,
hallmark,,,,,
home depot,,,,,
hotels.com,16e,,,,y
ihop,,,,,
itunes,,,y,,y
j.crew,19e,,,,
jcpenney,19e,,,,
jersey mike's,,,,,
jiffylube,16e,,y,,
kate spade,,,,,
kmart,,,,,
kohl's,19e,,,,
kroger,19e,,,,
land's end,,,,,
lane bryant,19e,,,,
legal seafood,,,,,
llbean,19e,,,,
lord and taylor,10e,,,,
lowe's,19e,,,,
mac,,,,,
macy's,15f,4e,,,
mastercard,,,,,
mgc,,,,,
michael's,19e,,,,
neiman marcus,16e,,,,
nike,19e,,,,
nintendo,,,y,,y
nordstrom,,,,,
nutrisystem,,,,,
office depot,,,,,
old navy,,,,,
olive garden,,,,,
origins,,,,,
outback steakhouse,,,,,y
overstock,19e,,,,
p.f.chang,,,,,
panera bread,19e,,,,
papa john's,,,,,
petco,16e,,,,
petsmart,19e,,,,
philips 66,,,,,
playstation,,,y,,y
pottery barn,,,,,
ralph lauren,16e,,,,
red lobster,,,,,
red robin,16e,,y,,
regal movie,19e,,,,
rei,,,,,
ruby tuesday,,,,,
safeway,,,,,
saks fifth avenue,16e,,,,
sears,,,,,
sephora,16e,,,,
southwest,16e,,,,
spa finder,,,,,
speedway,,,,,
sports authority,,,,,
staples,19e,,,,
starbucks,16e,,,,
stubhub,,,,y,y
sunoco,,,,,
sur la table,,,,,
swagbucks,,,,,
swarovski,16e,,,,
target,15f,,,,
tgi,,,,,
the body shop,,,,,
the cheesecake factory,,,,,
topgolf,,,,,
tory burch,,,,,
toysrus,,,,,
uber,,,y,,y
ulta,16e,,,,
under armour,16e,,,,
vgc,,,,,
walmart,,,,,
wayfair,,,y,,
west elm,,,,,
white house black market,,,,,
whole foods,,,,,
williams sonoma,,,,,
xbox,,,y,,y
yankee candle,16e,,,,
netflix,,,y,,y
zappos,,,y,,
